,starttime,Lat,Lon,Base
24628,4/23/14 0:01,40.7214,-73.8435,B02512
24629,4/23/14 0:07,40.7411,-73.9865,B02512
24630,4/23/14 0:25,40.7441,-73.9841,B02512
24631,4/23/14 0:25,40.674,-73.9122,B02512
24632,4/23/14 0:28,40.76,-73.9722,B02512
24633,4/23/14 0:29,40.7276,-73.9935,B02512
24634,4/23/14 0:44,40.7213,-73.9936,B02512
24635,4/23/14 0:50,40.7158,-74.0036,B02512
24636,4/23/14 1:03,40.7399,-74.0359,B02512
24637,4/23/14 1:41,40.6878,-74.1811,B02512
24638,4/23/14 2:07,40.7232,-74.0062,B02512
24639,4/23/14 2:26,40.7522,-73.9752,B02512
24640,4/23/14 3:06,40.7136,-73.9925,B02512
24641,4/23/14 3:34,40.6952,-74.1792,B02512
24642,4/23/14 4:06,40.7611,-73.9973,B02512
24643,4/23/14 4:18,40.7264,-73.9862,B02512
24644,4/23/14 4:21,40.7348,-73.9909,B02512
24645,4/23/14 4:26,40.7928,-73.9749,B02512
24646,4/23/14 4:37,40.7652,-73.9793,B02512
24647,4/23/14 4:45,40.6469,-73.7897,B02512
24648,4/23/14 4:54,40.7466,-74.0016,B02512
24649,4/23/14 4:56,40.6457,-73.7767,B02512
24650,4/23/14 5:00,40.7423,-74.0357,B02512
24651,4/23/14 5:02,40.6907,-74.1776,B02512
24652,4/23/14 5:09,40.4965,-74.4416,B02512
24653,4/23/14 5:15,40.7234,-73.9913,B02512
24654,4/23/14 5:16,40.787,-73.9564,B02512
24655,4/23/14 5:23,40.7113,-73.8272,B02512
24656,4/23/14 5:26,40.7334,-74.0511,B02512
24657,4/23/14 5:27,40.7208,-74.0038,B02512
24658,4/23/14 5:31,40.7644,-73.9958,B02512
24659,4/23/14 5:34,40.7363,-73.9985,B02512
24660,4/23/14 5:38,40.7182,-74.0073,B02512
24661,4/23/14 5:39,40.7287,-73.9877,B02512
24662,4/23/14 5:40,40.7904,-73.9766,B02512
24663,4/23/14 5:41,40.7494,-74.035,B02512
24664,4/23/14 5:47,40.7738,-73.9819,B02512
24665,4/23/14 5:52,40.755,-73.9714,B02512
24666,4/23/14 5:53,40.7236,-73.9938,B02512
24667,4/23/14 5:53,40.7759,-73.9441,B02512
24668,4/23/14 6:00,40.7301,-73.9854,B02512
24669,4/23/14 6:01,40.7497,-73.9117,B02512
24670,4/23/14 6:02,40.7813,-73.9819,B02512
24671,4/23/14 6:04,40.726,-74.0055,B02512
24672,4/23/14 6:08,40.7905,-73.9737,B02512
24673,4/23/14 6:10,40.748,-74.0265,B02512
24674,4/23/14 6:11,40.9893,-73.6914,B02512
24675,4/23/14 6:11,40.7394,-73.9881,B02512
24676,4/23/14 6:13,40.7398,-73.9895,B02512
24677,4/23/14 6:13,40.7391,-74.0082,B02512
24678,4/23/14 6:19,40.7638,-73.9733,B02512
24679,4/23/14 6:19,40.7304,-74.0047,B02512
24680,4/23/14 6:19,40.7548,-73.9664,B02512
24681,4/23/14 6:20,40.7103,-73.9636,B02512
24682,4/23/14 6:21,40.7353,-73.9895,B02512
24683,4/23/14 6:21,40.8062,-73.9653,B02512
24684,4/23/14 6:22,40.7653,-73.9618,B02512
24685,4/23/14 6:23,40.7172,-74.0037,B02512
24686,4/23/14 6:23,40.777,-73.9518,B02512
24687,4/23/14 6:25,40.7711,-73.9636,B02512
24688,4/23/14 6:25,40.7567,-73.9734,B02512
24689,4/23/14 6:27,40.7684,-73.9635,B02512
24690,4/23/14 6:27,40.7153,-73.9906,B02512
24691,4/23/14 6:28,40.7721,-73.9501,B02512
24692,4/23/14 6:29,40.7199,-74.0075,B02512
