,starttime,Lat,Lon,Base
3299,7/4/14 0:01,40.7168,-73.9402,B02512
3300,7/4/14 0:02,40.774,-73.8716,B02512
3301,7/4/14 0:02,40.7264,-73.9918,B02512
3302,7/4/14 0:04,40.721,-73.9936,B02512
3303,7/4/14 0:08,40.7621,-73.9787,B02512
3304,7/4/14 0:19,40.6947,-74.1777,B02512
3305,7/4/14 0:21,40.7607,-73.9871,B02512
3306,7/4/14 0:31,40.7536,-73.9667,B02512
3307,7/4/14 0:33,40.6954,-74.178,B02512
3308,7/4/14 0:36,40.6448,-73.7821,B02512
3309,7/4/14 0:37,40.695,-73.9531,B02512
3310,7/4/14 0:43,40.6954,-74.1779,B02512
3311,7/4/14 0:46,40.6498,-74.3971,B02512
3312,7/4/14 1:03,40.7563,-73.9862,B02512
3313,7/4/14 1:03,40.7239,-73.9768,B02512
3314,7/4/14 1:03,40.7223,-73.9574,B02512
3315,7/4/14 1:03,40.6951,-74.1775,B02512
3316,7/4/14 1:12,40.7327,-74.0021,B02512
3317,7/4/14 1:21,40.7195,-73.9905,B02512
3318,7/4/14 1:23,40.7615,-73.9744,B02512
3319,7/4/14 1:23,40.695,-74.1773,B02512
3320,7/4/14 1:24,40.7805,-73.9518,B02512
3321,7/4/14 1:26,40.7227,-73.9582,B02512
3322,7/4/14 1:37,40.7305,-74.0,B02512
3323,7/4/14 1:48,40.7234,-73.9883,B02512
3324,7/4/14 1:48,40.6466,-73.7892,B02512
3325,7/4/14 1:56,40.7506,-73.9943,B02512
3326,7/4/14 1:59,40.7176,-73.9579,B02512
3327,7/4/14 2:01,40.6949,-74.1779,B02512
3328,7/4/14 2:13,40.7301,-73.9891,B02512
3329,7/4/14 2:14,40.6952,-74.1789,B02512
3330,7/4/14 2:27,40.7623,-73.9706,B02512
3331,7/4/14 2:29,40.7197,-73.9873,B02512
3332,7/4/14 2:30,40.7179,-73.9854,B02512
3333,7/4/14 2:35,40.7405,-73.9797,B02512
3334,7/4/14 2:39,40.6949,-74.178,B02512
3335,7/4/14 2:42,40.7546,-73.9993,B02512
3336,7/4/14 2:52,40.7519,-73.9925,B02512
3337,7/4/14 2:57,40.69,-73.9803,B02512
3338,7/4/14 2:57,40.8102,-73.9476,B02512
3339,7/4/14 3:01,40.7408,-74.0051,B02512
3340,7/4/14 3:15,40.7926,-73.9708,B02512
3341,7/4/14 3:21,40.7283,-73.9877,B02512
3342,7/4/14 3:23,40.7415,-74.0033,B02512
3343,7/4/14 4:25,40.7484,-73.9763,B02512
3344,7/4/14 4:26,40.7501,-73.992,B02512
3345,7/4/14 4:26,40.7169,-73.9901,B02512
3346,7/4/14 4:39,40.7827,-74.0066,B02512
